Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D88,D_Small,D_SOD-123,379.5,-147.4,90,bottom
D89,D_Small,D_SOD-123,360.5,-147.5,90,bottom
D90,D_Small,D_SOD-123,310.5,-147.4,90,bottom
D91,D_Small,D_SOD-123,286.75,-147.4,90,bottom
D92,D_Small,D_SOD-123,263.25,-147.4,90,bottom
D93,D_Small,D_SOD-123,191.5,-147.4,90,bottom
FB1,120R,L_0603_1608Metric,74.3,-52.7925,90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085_CUSTOM,79.5,-33.9,0,bottom
R1,5.1k,R_0805_2012Metric,80.4,-36.05,-90,bottom
R2,5.1k,R_0805_2012Metric,92.9,-29.55,0,bottom
R3,10k,R_0805_2012Metric,60.9375,-44.6,180,bottom
R4,10k,R_0805_2012Metric,60.9375,-46.7,180,bottom
R5,10k,R_0805_2012Metric,93.925,-48.8,0,bottom
R6,10k,R_0805_2012Metric,47.775,-48.55,-90,bottom
R7,1.5k,R_0805_2012Metric,84.05,-36.75,0,bottom
R8,10k,R_0805_2012Metric,45.75,-49.85,-90,bottom
SW1,SW_SPDT,SW_SPDT_PCM12,95.25,-52.32,180,bottom
U2,XC6206PxxxMR,SOT-23-3,75.0625,-36.9,180,bottom
U4,STM32F303C8Tx,LQFP-48_7x7mm_P0.5mm,81.475,-45.45,90,bottom
Y1,16MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,81.91,-56.1,180,bottom
